"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","37","testcases","test_all_case","TestAllApi","","","测试取消接口",""
"passed","Thu Oct 06 20:53:12 CST 2022","Thu Oct 06 20:53:12 CST 2022","38","testcases","test_all_case","TestAllApi","","","验证错误的用户名",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","47","testcases","test_all_case","TestAllApi","","","测试详情列表接口",""
"passed","Thu Oct 06 20:53:12 CST 2022","Thu Oct 06 20:53:12 CST 2022","110","testcases","test_all_case","TestAllApi","","","测试订单列表接口",""
"passed","Thu Oct 06 20:53:12 CST 2022","Thu Oct 06 20:53:12 CST 2022","43","testcases","test_all_case","TestAllApi","","","验证密码必须是6-18位",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","53","testcases","test_all_case","TestAllApi","","","测试MD5加密接口",""
"passed","Thu Oct 06 20:53:12 CST 2022","Thu Oct 06 20:53:13 CST 2022","306","testcases","test_all_case","TestAllApi","","","测试获取access_token鉴权码接口",""
"passed","Thu Oct 06 20:53:12 CST 2022","Thu Oct 06 20:53:12 CST 2022","323","testcases","test_all_case","TestAllApi","","","验证登陆成功测试用例",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","66","testcases","test_all_case","TestAllApi","","","测试订单列表接口",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","59","testcases","test_all_case","TestAllApi","","","测试BASE64加密",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","2","testcases","test_all_case","TestAllApi","","","用例标题",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","92","testcases","test_all_case","TestAllApi","","","测试RSA加密",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","123","testcases","test_all_case","TestAllApi","","","测试订单列表接口",""
"passed","Thu Oct 06 20:53:13 CST 2022","Thu Oct 06 20:53:13 CST 2022","74","testcases","test_all_case","TestAllApi","","","用例标题",""
